codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15638;Sáchica;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2022;B;87.0;87.0;7395.0;85.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15638;Sáchica;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2023;A;83.0;83.0;6640.0;80.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15638;Sáchica;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2023;B;86.0;83.5;8350.0;100.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15646;Samacá;Arándano;Arándano;Permanente;Frutales;Demás frutales;2023;C;1.0;0.0;0.0;0.0;Vaccinium corymbosum;2040400;En fresco
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2019;A;198.0;198.0;396.0;2.0;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2019;B;220.0;220.0;396.0;1.8;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;A;190.0;190.0;380.0;2.0;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;B;220.0;220.0;396.0;1.8;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;A;109.16;103.66;484.420560747664;4.67;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;B;200.0;190.0;342.0;1.8;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;A;80.0;56.0;104.672897196262;1.87;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;B;150.0;127.5;167.420560747664;1.31;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;A;70.0;67.0;125.233644859813;1.87;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;B;60.0;40.0;74.7663551401869;1.87;Pisum sativum;1060100;Grano
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;10.0;10.0;30.0;3.0;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2020;A;10.0;10.0;30.0;3.0;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2021;A;10.0;9.5;20.8;2.19;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2022;A;7.0;6.5;14.56;2.24;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2023;A;30.0;27.0;67.5;2.5;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebada;Cebada;Transitorio;Cereales;Cereales;2023;B;42.0;30.0;75.0;2.5;Hordeum vulgare;1010300;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;320.0;320.0;7040.0;22.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;280.0;280.0;6440.0;23.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2020;A;340.0;340.0;7480.0;22.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2020;B;400.0;400.0;8800.0;22.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2021;A;470.59;446.88;13361.84;29.9;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2021;B;310.0;295.0;6490.0;22.0;Allium cepa;1051100;En fresco
15;Boyacá;15646;Samacá;Cebolla de bulbo;Cebolla de bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2022;A;290.0;288.0;8611.2;29.9;Allium cepa;1051100;En fresco
